Name                                         PID     Status         CPU%    Memory      Disk (R/W MB/s)   Network   
--------------------------------------------------------------------------------------------------------------------

--- Snapshot @ 2025-04-19 18:11:52 ---
System Idle Process                          0       running        0.0%    < 0.1 MB    0.0 MB/s          N/A       
  N/A                                        140     stopped        0.0%    0.1 MB      0.0 MB/s          N/A       
  Registry                                   180     running        0.0%    39.7 MB     0.0 MB/s          N/A       
  smss.exe                                   612     running        0.0%    1.5 MB      0.0 MB/s          N/A       
  MemCompression                             3144    running        0.0%    121.0 MB    0.0 MB/s          N/A       
System (4)                                   4       running        0.0%    162.5 MB    0.0 MB/s          N/A       
    svchost.exe                              692     running        0.0%    10.4 MB     0.0 MB/s          N/A       
      SDXHelper.exe                          652     running        0.0%    31.9 MB     0.0 MB/s          N/A       
      dllhost.exe                            3196    running        0.0%    17.3 MB     0.0 MB/s          N/A       
      ShellExperienceHost.exe                3420    stopped        0.0%    108.4 MB    0.0 MB/s          N/A       
          msedgewebview2.exe                 3820    running        0.0%    < 0.1 MB    0.0 MB/s          N/A       
          msedgewebview2.exe                 5924    running        0.0%    1.0 MB      0.0 MB/s          N/A       
          msedgewebview2.exe                 12564   running        0.0%    11.3 MB     0.0 MB/s          N/A       
          msedgewebview2.exe                 13976   running        0.0%    7.0 MB      0.0 MB/s          N/A       
          msedgewebview2.exe                 14080   running        0.0%    0.9 MB      0.0 MB/s          N/A       
          msedgewebview2.exe                 14128   running        0.0%    2.3 MB      0.0 MB/s          N/A       
        msedgewebview2.exe (6)               12572   running        0.0%    31.3 MB     0.0 MB/s          N/A       
      Widgets.exe (1)                        4072    running        0.0%    101.4 MB    0.0 MB/s          N/A       
      smartscreen.exe                        4144    running        0.0%    12.4 MB     0.0 MB/s          N/A       
      WidgetService.exe                      4512    running        0.0%    26.8 MB     0.0 MB/s          N/A       
      RuntimeBroker.exe                      5168    running        0.0%    48.2 MB     0.0 MB/s          N/A       
      RuntimeBroker.exe                      8996    running        0.0%    28.1 MB     0.0 MB/s          N/A       
      dllhost.exe                            9816    running        0.0%    13.2 MB     0.0 MB/s          N/A       
      SearchHost.exe                         10044   stopped        0.0%    396.5 MB    0.0 MB/s          N/A       
      StartMenuExperienceHost.exe            10076   running        0.0%    161.9 MB    0.0 MB/s          N/A       
      RuntimeBroker.exe                      10188   running        0.0%    75.7 MB     0.0 MB/s          N/A       
      ApplicationFrameHost.exe               10816   running        0.0%    48.8 MB     0.0 MB/s          N/A       
      dllhost.exe                            11016   running        0.0%    19.9 MB     0.0 MB/s          N/A       
      FileCoAuth.exe                         11160   running        0.0%    35.1 MB     0.0 MB/s          N/A       
      SystemSettings.exe                     11656   stopped        0.0%    4.2 MB      0.0 MB/s          N/A       
      UserOOBEBroker.exe                     12748   running        0.0%    10.4 MB     0.0 MB/s          N/A       
      TextInputHost.exe                      12816   running        0.0%    242.8 MB    0.0 MB/s          N/A       
      PhoneExperienceHost.exe                13004   running        0.0%    156.6 MB    0.0 MB/s          N/A       
      LockApp.exe                            13784   stopped        0.0%    110.4 MB    0.0 MB/s          N/A       
      DataExchangeHost.exe                   15056   running        0.0%    39.1 MB     0.0 MB/s          N/A       
